'safeway',
'albertsons',
'ralphs',
'kroger',
'trader joe\'s',
'whole foods',
'jewel-osco',
'pavilions',
'food 4 less',
'randalls',
'tom thumb',
'star market',
'vons',
'united supermarkets',
'acme markets',
'carrs'
