,keyword,text,lat,long,census,comp,category,CensusTract,LILATracts_1And10
3638,starbucks,"Nervous to apply for a job like ""barista - Store# 02929, LINCOLN VILLAGE"" at Starbucks? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info. #Retail #Chicago, IL",41.9928904,-87.7110196,17031130100,0.4215,fast_food,17031130100,0
3639,starbucks,"Nervous to apply for a job like ""barista - Store# 02929, LINCOLN VILLAGE"" at Starbucks? Apply even if you're not a 100% match. You might be underestimating your value. Click the link in our bio for more info. #Retail #Chicago, IL",41.9928904,-87.7110196,17031130100,0.4215,fast_food,17031130100,0
3640,starbucks,"See our latest #Falmouth, ME #Retail job opportunity and click the link in our bio to apply: shift supervisor - Store# 11267, FALMOUTH, ROUTE 1 at Starbucks",43.7252337,-70.2318537,23005002501,0.4215,fast_food,23005002501,0
3641,starbucks,"See our latest #Falmouth, ME #Retail job opportunity and click the link in our bio to apply: shift supervisor - Store# 11267, FALMOUTH, ROUTE 1 at Starbucks",43.725233700000004,-70.2318537,23005002501,0.4215,fast_food,23005002501,0
3642,starbucks,"I'm at Starbucks in Oceanside, CA  ",33.20302411,-117.36719691,06073018603,0.0,fast_food,06073018603,0
3643,starbucks," (@ Starbucks in Oceanside, CA) ",33.20302411,-117.36719691,06073018603,0.0,fast_food,06073018603,0
3644,starbucks,"I'm at Starbucks in Oceanside, CA  ",33.20302411,-117.36719691,06073018603,0.0,fast_food,06073018603,0
3645,starbucks,"Click the link in our bio to see currently open #Retail jobs like ""barista - Store# 18276, PROVIDENCE &amp; KEMPSVILLE"" at Starbucks in #VirginiaBeach, VA.",36.8141395,-76.16741280000002,51810046002,0.3612,fast_food,51810046002,0
3646,starbucks,"Click the link in our bio to see currently open #Retail jobs like ""barista - Store# 18276, PROVIDENCE &amp; KEMPSVILLE"" at Starbucks in #VirginiaBeach, VA.",36.8141395,-76.16741280000001,51810046002,0.3612,fast_food,51810046002,0
3647,starbucks,"Want to work at Starbucks? We're hiring in #NewYork, NY! Click for details:  #Retail",40.7525899,-73.9951693,36061010300,0.1511,fast_food,36061010300,0
3648,starbucks,"I'm at Starbucks in New York, NY ",40.75374803,-73.99931366,36061010300,0.0,fast_food,36061010300,0
3649,starbucks,"Want to work at Starbucks? We're hiring in #NewYork, NY! Click for details:  #Retail",40.7525899,-73.9951693,36061010300,0.1511,fast_food,36061010300,0
3650,starbucks,"This #Retail job might be a great fit for you. Click the link in our bio to see it and more. shift supervisor - Store# 07828, RIVANNA RIDGE at Starbucks #Charlottesville, VA",38.029028,-78.4439204,51003010500,0.765,fast_food,51003010500,0
